Token,SHAP Importance,Importance Ratio,Cumulative Importance
ar,0.0030145143096572697,0.0001222739120701386,0.9371688747798455
lm,0.0030129586941459114,0.0001222108136155579,0.937291085593461
s,0.0030123383602535265,0.0001221856518004129,0.9374132712452614
 je,0.002994607047488292,0.0001214664390997139,0.9375347376843611
 salt,0.00298898546025157,0.00012123841780246029,0.9376559761021636
 dentro,0.0029856057653387825,0.0001211013315337814,0.9377770774336973
 res,0.002982860431075096,0.0001209899760297502,0.937898067409727
 par,0.002977327864971899,0.00012076556558357738,0.9380188329753106
ntar,0.002977062282817704,0.00012075479311224911,0.9381395877684229
p,0.002969054924436626,0.00012043000081271833,0.9382600177692356
9,0.0029664838598028576,0.00012032571398616424,0.9383803434832217
 persona,0.0029562213846171894,0.00011990945025026012,0.9385002529334721
 propias,0.0029474077125390373,0.00011955195247317327,0.9386198048859452
 reglas,0.0029474077125390373,0.00011955195247317327,0.9387393568384184
 cos,0.0029443609916294613,0.00011942837220572975,0.938858785210624
 humanos,0.002944094662014986,0.00011941756941612027,0.9389782027800402
 non,0.0029419333053131895,0.00011932990105161423,0.9390975326810918
ers,0.002925257198512554,0.00011865348932914179,0.9392161861704209
 #,0.002924545697014515,0.00011862462959829548,0.9393348108000192
 natal,0.002920240656755892,0.00011845000972259779,0.9394532608097418
 Chloe,0.002917986318823837,0.00011835856987864104,0.9395716193796204
 verdadera,0.0029167147002197684,0.00011830699082961063,0.93968992637045
 familiar,0.0029152554804580165,0.00011824780235328865,0.9398081741728033
 directo,0.0029152554804580165,0.00011824780235328865,0.9399264219751565
97,0.002904075508316358,0.00011779432335462662,0.9400442162985112
 puso,0.002902556924031131,0.00011773272695059956,0.9401619490254618
 brazos,0.002901932969689369,0.00011770741828376857,0.9402796564437456
 aj,0.0029003886831185173,0.00011764477935060097,0.9403973012230962
ó,0.0028946298605605383,0.00011741119155145667,0.9405147124146477
 política,0.0028932149728474322,0.00011735380125967161,0.9406320662159073
 lama,0.0028814416533956924,0.0001168762550682988,0.9407489424709756
 muu,0.002879975151007224,0.00011681677119604654,0.9408657592421716
uu,0.002879975151007224,0.00011681677119604654,0.9409825760133677
 Peña,0.0028645811649039388,0.00011619236450566463,0.9410987683778733
 ge,0.0028603533923042697,0.00011602087873979899,0.9412147892566132
 hay,0.0028575797249144694,0.00011590837399518863,0.9413306976306084
ación,0.002854304299468086,0.0001157755170763343,0.9414464731476847
 capital,0.0028496496379375458,0.00011558671595740174,0.941562059863642
 contexto,0.0028477801438073934,0.00011551088604339085,0.9416775707496855
 error,0.0028418671078006036,0.00011527104308014945,0.9417928417927657
 _,0.0028401757715976004,0.00011520243955967369,0.9419080442323253
 ;,0.0028359780510559293,0.00011503217275723623,0.9420230764050825
autor,0.002825157220164935,0.00011459326114860574,0.9421376696662311
 directamente,0.0028228408119712885,0.00011449930362752811,0.9422521689698586
ificación,0.002821401731731991,0.00011444093204505525,0.9423666099019037
 enter,0.0028168314361366733,0.00011425555295431214,0.942480865454858
U,0.00280567732297346,0.00011380312284052236,0.9425946685776985
tipo,0.0028053217050102025,0.00011378869836111929,0.9427084572760596
 Sa,0.002802029452925804,0.00011365515892473617,0.9428221124349843
 aur,0.0027943069322241675,0.00011334192013392776,0.9429354543551182
 EL,0.0027932625082763003,0.00011329955649294043,0.9430487539116111
 debería,0.0027922170904995675,0.00011325715254053614,0.9431620110641517
 investigador,0.002789828615883986,0.00011316027188079213,0.9432751713360324
 Ann,0.002789040420042432,0.00011312830129477914,0.9433882996373272
dej,0.002788664244349835,0.00011311304295833265,0.9435014126802855
 comunista,0.002787388658610516,0.00011306130299543788,0.943614473983281
 son,0.0027781997560322033,0.00011268858522054385,0.9437271625685015
 ya,0.0027674240733373853,0.00011225150490080516,0.9438394140734023
 necesidad,0.002763214365889629,0.0001120807518887332,0.9439514948252911
 conductor,0.00275147244842215,0.00011160447941613161,0.9440630993047072
 tren,0.00275147244842215,0.00011160447941613161,0.9441747037841234
yendo,0.0027512799017131327,0.00011159666938872775,0.9442863004535121
 Más,0.0027385588735342027,0.00011108068249292525,0.944397381136005
 ropa,0.0027374543789617655,0.00011103588228355173,0.9445084170182886
ports,0.002735186235180923,0.00011094388245049978,0.9446193609007391
icios,0.0027330132046093545,0.00011085574057365333,0.9447302166413127
 atrás,0.00272913663402984,0.00011069850016890396,0.9448409151414816
pt,0.0027284330015795097,0.00011066995962023722,0.9449515851011019
pon,0.002724519558452489,0.00011051122360121358,0.9450620963247031
 us,0.0027216127812638106,0.00011039331969303264,0.945172489644396
 UA,0.002712172533695896,0.0001100104069308203,0.9452825000513269
bidas,0.0027073803544044495,0.00010981602785375653,0.9453923160791806
 Tiene,0.002703824390967687,0.00010967179182900177,0.9455019878710096
 tiempo,0.002703824390967687,0.00010967179182900177,0.9456116596628386
fo,0.00269992674678168,0.00010951369664233977,0.9457211733594809
 llamar,0.0026997091470640027,0.00010950487042159153,0.9458306782299025
 ),0.0026982466897062245,0.00010944555062277736,0.9459401237805253
 P,0.0026872045798784906,0.00010899766355791262,0.9460491214440832
 día,0.0026844759467777664,0.00010888698548192514,0.9461580084295651
 Di,0.0026841392585386834,0.00010887332882486141,0.9462668817583899
cho,0.0026841392585386834,0.00010887332882486141,0.9463757550872147
M,0.002683433138210378,0.0001088446873635628,0.9464845997745783
or,0.0026820259206440473,0.00010878760818619155,0.9465933873827646
girl,0.002678763121366501,0.00010865526340657411,0.9467020426461711
K,0.002669606619188221,0.00010828385984792113,0.946810326506019
 we,0.002665231538568024,0.0001081063990140681,0.9469184329050331
 des,0.0026642208706985585,0.00010806540457798025,0.947026498309611
 H,0.0026629526311388384,0.00010801396258883051,0.9471345122721999
 50,0.0026574778681000073,0.00010779189673488173,0.9472423041689348
 primera,0.0026506013338538736,0.00010751297261729987,0.9473498171415522
 hizo,0.002650280652774705,0.0001074999652383164,0.9474573171067905
eña,0.0026425385699216006,0.00010718593297282424,0.9475645030397634
 en,0.002633546701658532,0.00010682120725040107,0.9476713242470137
 cara,0.0026303377870863626,0.00010669104812759277,0.9477780152951413
te,0.0026302518962846556,0.00010668756424818244,0.9478847028593894
 poca,0.0026284306908824617,0.00010661369300846197,0.9479913165523979
 antes,0.002628048086568477,0.00010659817391601779,0.9480979147263139
 ne,0.0026226640687565562,0.00010637978884535821,0.9482042945151592
for,0.002622051785389582,0.00010635495357344208,0.9483106494687327
O,0.0026172358510875484,0.00010615961095207983,0.9484168090796847
js,0.0026027815682547434,0.00010557332025096313,0.9485223823999357
 oferta,0.0025903997011482716,0.00010507109031462124,0.9486274534902503
 Ten,0.0025854166829958557,0.00010486897048342307,0.9487323224607338
dr,0.0025854166829958557,0.00010486897048342307,0.9488371914312173
cant,0.002584627430353846,0.00010483695703175655,0.948942028388249
 mas,0.0025793685705312306,0.00010462364858552371,0.9490466520368346
 entender,0.0025768940689288276,0.00010452327852246569,0.9491511753153571
 .,0.0025753120534589176,0.00010445910923992433,0.949255634424597
 andro,0.00257201436907053,0.00010432534945989971,0.949359959774057
cent,0.00257201436907053,0.00010432534945989971,0.9494642851235169
rter,0.0025674812613299697,0.00010414147877283811,0.9495684266022897
 Pero,0.002566417109156991,0.00010409831492093294,0.9496725249172107
dent,0.0025622224036071983,0.00010392817041177857,0.9497764530876225
ib,0.0025550872604880068,0.00010363875667120719,0.9498800918442937
nio,0.0025544041501624243,0.00010361104853540007,0.9499837028928291
 vara,0.0025544041501624243,0.00010361104853540007,0.9500873139413645
ls,0.0025445391113559407,0.00010321090550614717,0.9501905248468706
 hr,0.0025398284843605426,0.00010301983433120357,0.9502935446812019
 yo,0.0025395798896040234,0.00010300975089809384,0.9503965544320999
 le,0.002531248392792865,0.00010267181098344933,0.9504992262430834
8,0.002530752303622862,0.00010265168874904574,0.9506018779318324
ban,0.002526282869124164,0.00010247040075875614,0.9507043483325911
 ab,0.002525174270752779,0.00010242543409220239,0.9508067737666833
 gara,0.0025247803817574793,0.00010240945727357448,0.9509091832239569
ntic,0.0025247803817574793,0.00010240945727357448,0.9510115926812305
lga,0.0025222385923067726,0.00010230635789905804,0.9511138990391296
 ES,0.0025221851166515124,0.0001023041888340288,0.9512162032279636
adi,0.0025147313596011185,0.00010200185156156927,0.9513182050795252
 mundo,0.0025095504765917306,0.00010179170598969185,0.9514199967855149
 G,0.002509479493878427,0.00010178882680812116,0.951521785612323
 lo,0.0025082290013024523,0.00010173810466731417,0.9516235237169903
 MI,0.002504294631615797,0.00010157851983085268,0.9517251022368212
 tener,0.002503381316116255,0.00010154147417519745,0.9518266437109963
 hace,0.002501524802254933,0.00010146617076333138,0.9519281098817597
uno,0.002496772911399603,0.00010127342585488954,0.9520293833076146
 fr,0.0024940586105609936,0.00010116332912023189,0.9521305466367348
 principi,0.002491416937361161,0.00010105617828816599,0.952231602815023
antes,0.002491416937361161,0.00010105617828816599,0.9523326589933111
mera,0.0024851813573728908,0.00010080325238340265,0.9524334622456945
OC,0.0024836318774355782,0.00010074040279831279,0.9525342026484928
 algo,0.0024794933084021547,0.00010057253528331447,0.952634775183776
 mientras,0.002475542061102505,0.0001004122658616909,0.9527351874496377
 DA,0.002475200022901414,0.00010039839220091882,0.9528355858418386
ZA,0.002475200022901414,0.00010039839220091882,0.9529359842340395
ír,0.002473022490739822,0.0001003100677317984,0.9530362943017713
yan,0.0024620105638896005,9.986340494068366e-05,0.953136157706712
 38,0.0024609396415245202,9.981996647808215e-05,0.9532359776731901
 %,0.0024609396415245202,9.981996647808215e-05,0.9533357976396682
 Francesco,0.00246072793379426,9.981137924652997e-05,0.9534356090189148
 ayuda,0.002454237615705061,9.954812072398668e-05,0.9535351571396388
endi,0.002452555733422438,9.947990067086604e-05,0.9536346370403096
bras,0.0024480891103545823,9.929872671707196e-05,0.9537339357670267
 sector,0.002446034224703908,9.921537700247289e-05,0.9538331511440292
onista,0.0024431698371236233,9.909919249009406e-05,0.9539322503365193
 todos,0.0024380768769445347,9.889261322021978e-05,0.9540311429497396
 human,0.0024272092348711,9.845180286909957e-05,0.9541295947526086
 dem,0.002425049297609372,9.836419207953673e-05,0.9542279589446881
 donde,0.002422972345111533,9.827994729546619e-05,0.9543262388919836
 498,0.0024209864851501253,9.819939738215947e-05,0.9544244382893659
 seres,0.0024208521159986653,9.819394713707092e-05,0.9545226322365029
 pet,0.002417136232058207,9.804322446020625e-05,0.9546206754609631
 PA,0.0024126203109820685,9.78600508939669e-05,0.954718535511857
30,0.002409828510044699,9.774681062131678e-05,0.9548162823224784
 Salud,0.0024047171076138816,9.753948330182833e-05,0.9549138218057802
 in,0.0023978392112701087,9.726050393521135e-05,0.9550110823097154
r,0.0023897389577248467,9.693194364721862e-05,0.9551080142533627
 final,0.0023856982588768005,9.676804591614296e-05,0.9552047822992789
 cita,0.0023812094308516903,9.65859712908934e-05,0.9553013682705698
 den,0.0023811480906956338,9.658348322811526e-05,0.9553979517537979
hor,0.0023745118829062565,9.631430716711001e-05,0.955494266060965
 sona,0.002374459337443113,9.631217583228123e-05,0.9555905782367973
 ap,0.0023601670926880268,9.573245767573779e-05,0.955686310694473
unta,0.0023601670926880268,9.573245767573779e-05,0.9557820431521487
ba,0.002346558269433608,9.518046027680089e-05,0.9558772236124254
 14,0.0023431101115420462,9.504059703134005e-05,0.9559722642094568
 Cristo,0.0023415809109186133,9.497857001028123e-05,0.9560672427794671
 vino,0.0023415809109186133,9.497857001028123e-05,0.9561622213494774
quier,0.0023412355709643592,9.496456242469257e-05,0.956257185911902
y,0.002339508786366808,9.489452105604867e-05,0.956352080432958
ing,0.0023350755296026667,9.471470049721887e-05,0.9564467951334553
erad,0.0023334928834810855,9.465050563435543e-05,0.9565414456390897
 nuna,0.002331974283104239,9.458890857762447e-05,0.9566360345476673
 cha,0.0023291281924977063,9.447346622213391e-05,0.9567305080138895
vala,0.0023291281924977063,9.447346622213391e-05,0.9568249814801116
 cabe,0.0023277795518792813,9.441876302704102e-05,0.9569194002431387
ller,0.0023277795518792813,9.441876302704102e-05,0.9570138190061658
 Bu,0.00232748080116625,9.440664518162258e-05,0.9571082256513475
 Raquel,0.00232698297814319,9.438645261914143e-05,0.9572026121039666
 Hay,0.002314548242268049,9.388207823413966e-05,0.9572964941822008
ir,0.0023130056936116446,9.381950979378664e-05,0.9573903136919946
 haber,0.00229995286402603,9.329006445929116e-05,0.9574836037564538
 ad,0.0022954583912622117,9.310776087368063e-05,0.9575767115173275
oi,0.0022944696247577667,9.306765479482239e-05,0.9576697791721223
ción,0.002292065371087883,9.29701341093561e-05,0.9577627493062316
arar,0.002291873617864707,9.29623562671098e-05,0.9578557116624987
 妖,0.002290034266964843,9.28877490146328e-05,0.9579485994115133
 여,0.002290034266964843,9.28877490146328e-05,0.958041487160528
장,0.002290034266964843,9.28877490146328e-05,0.9581343749095426
 falta,0.002287983877885372,9.280458168873567e-05,0.9582271794912313
GA,0.002285379238096253,9.269893299583386e-05,0.9583198784242271
pei,0.0022813385795979273,9.253503690141264e-05,0.9584124134611285
 toca,0.0022756818401080273,9.230558976799685e-05,0.9585047190508965
 claro,0.002267018278748543,9.195418074117944e-05,0.9585966732316377
 S,0.00226634225194774,9.19267599253838e-05,0.9586885999915631
 difícil,0.0022644247042814987,9.184898087687135e-05,0.95878044897244
 mo,0.002249598099083147,9.124758813691516e-05,0.9588716965605769
de,0.002248264485064687,9.119349444669572e-05,0.9589628900550237
 Cum,0.0022479668259620667,9.118142087888279e-05,0.9590540714759025
ple,0.0022479668259620667,9.118142087888279e-05,0.9591452528967813
AS,0.00224640332661303,9.111800264221582e-05,0.9592363708994235
 59,0.002245936594489548,9.109907118037331e-05,0.9593274699706038
 otros,0.0022458466424030207,9.109542256822929e-05,0.959418565393172
 cambio,0.002244648989289999,9.104684368739167e-05,0.9595096122368595
cus,0.0022438995085567945,9.101644345310632e-05,0.9596006286803126
 edu,0.0022399654146283863,9.085686980187607e-05,0.9596914855501145
do,0.0022384283371384207,9.079452328149269e-05,0.959782280073396
 pesos,0.002235851472332364,9.06900011899229e-05,0.9598729700745859
 manera,0.0022321917723664747,9.054155743220092e-05,0.9599635116320181
ues,0.0022310293314070162,9.049440681718868e-05,0.9600540060388353
 Xi,0.0022280411712606164,9.037320187554289e-05,0.9601443792407108
 Bi,0.0022275050037673543,9.035145399505814e-05,0.9602347306947059
blica,0.0022275050037673543,9.035145399505814e-05,0.9603250821487009
n,0.0022256727281065765,9.027713372651058e-05,0.9604153592824275
udo,0.002224873512601241,9.024471616388319e-05,0.9605056039985914
 ere,0.002224571612249646,9.023247056367932e-05,0.9605958364691551
 22,0.002221246604763326,9.00976025115648e-05,0.9606859340716667
 animales,0.0022150352985287705,8.984566119221803e-05,0.9607757797328589
 quién,0.002210198233173231,8.964946145879299e-05,0.9608654291943177
F,0.0022083188963097707,8.957323230650244e-05,0.9609550024266242
 re,0.002206012676888094,8.947968805963084e-05,0.9610444821146839
 cuales,0.0022015465861734223,8.929853569900226e-05,0.9611337806503829
 disc,0.002196697297790388,8.910184017845013e-05,0.9612228824905613
rimi,0.002196697297790388,8.910184017845013e-05,0.9613119843307397
 TNT,0.002192689904144832,8.89392933639675e-05,0.9614009236241037
mano,0.0021853508427739144,8.864160834656017e-05,0.9614895652324502
ogu,0.002183718287519046,8.857538908296474e-05,0.9615781406215331
rato,0.002176972822501109,8.830178135987876e-05,0.961666442402893
 deja,0.002174864365376915,8.82162586936962e-05,0.9617546586615867
 Yo,0.0021696701621660938,8.80055728314199e-05,0.9618426642344181
I,0.002165800727177385,8.784862185857005e-05,0.9619305128562767
